filename,PR_mean,QRS_mean,QT_mean,P_duration_mean,R_amplitude_mean,T_amplitude_mean,RR_mean,SDNN,RMSSD
44.asc,167.86666666666673,141.57142857142858,378.85714285714283,74.80000000000005,0.3466108714351898,0.312749511627377,646.5714285714286,9.514757603055264,3.6794648440311994
45.asc,184.6153846153846,112.5,347.1666666666667,89.6923076923077,0.531745748352362,0.23101153782644518,726.3333333333334,11.160446028522138,11.020641789593991
46.asc,160.33333333333334,125.63636363636355,402.3636363636364,77.49999999999993,0.44121506327662235,0.17259845334016555,782.9090909090909,19.509692441798094,20.957099035887577
47.asc,157.38461538461542,130.0,291.07692307692315,66.00000000000001,0.6031594029222541,0.056956737234802324,694.3076923076923,42.02450679779161,30.177254127350068
48.asc,164.71428571428564,150.92307692307696,368.46153846153845,80.57142857142857,0.030900406129689056,0.19783764941255697,690.6153846153846,14.99506822278302,17.813852287849848
49.asc,225.4,137.33333333333334,365.77777777777777,93.6,0.3395678448176627,0.37638998498634935,892.8,56.321931785051554,84.99673196331989
50.asc,203.6,133.33333333333334,388.44444444444457,89.6,0.74158868837174,0.20283932558307902,940.2222222222222,18.047947114886178,13.095800853708795
51.asc,168.83333333333337,113.45454545454537,343.63636363636357,74.8333333333333,0.6804163831157735,0.1590840542307452,784.5454545454545,38.11075638276044,22.441033844277317
52.asc,173.0,147.45454545454547,397.09090909090907,48.666666666666664,0.16511894449434442,0.14569193135977784,818.1818181818181,31.29280539391583,35.031414473298106
53.asc,169.20000000000007,183.71428571428575,345.4285714285715,79.73333333333339,0.8535470613076004,0.012330023172294736,660.1428571428571,17.606237299228216,7.864232565619727
54.asc,199.27272727272728,133.8,317.2,63.27272727272723,0.12342115919764113,0.0384247926863712,841.4,35.48577179659476,42.089850980438925
55.asc,161.86666666666667,135.57142857142858,340.57142857142856,58.0,0.1154468512918343,0.0572876725905492,680.7142857142857,9.05876506427868,7.337993857053428
56.asc,205.4,115.25000000000003,402.75,95.6,0.2977034485861768,0.2321798534111917,921.7777777777778,16.06775776224464,19.887181801351343
57.asc,165.83333333333334,143.45454545454547,375.09090909090907,68.5,0.24615347572930232,0.15109998053885756,774.5454545454545,32.17103054941775,36.28222705402743
58.asc,188.54545454545453,161.00000000000006,409.40000000000003,83.45454545454545,0.21301533269441197,0.15068395911083965,847.6,13.440238093129155,16.586473739499638
59.asc,214.88888888888889,175.24999999999997,462.0,101.77777777777773,0.6229218163930504,0.30458625589252686,1143.0,134.63654778699578,154.983870128475
60.asc,188.0,144.8,419.0,73.81818181818181,0.3031390554080228,0.24884120749492958,857.0,45.38061260053681,42.26897995772629
61.asc,179.49999999999991,150.72727272727272,378.90909090909093,94.83333333333333,0.5373659951387523,0.21460883689523,843.2727272727273,24.394824000523737,31.71750305430741
62.asc,176.4,151.77777777777777,422.44444444444457,88.8,0.4095423264257684,0.19633374001989634,990.8888888888889,45.64706256691283,57.8013840664737
63.asc,218.72727272727272,271.0,440.4,93.0909090909091,1.0374721290810898,0.38787444630401513,924.6,47.185167160878,23.758039574940614
64.asc,176.36363636363635,130.1818181818182,382.90909090909093,74.0,0.3616621335244339,0.18592125292237915,839.0909090909091,5.350523261658967,5.621387729022079
65.asc,173.8181818181819,126.0,395.8,84.36363636363643,0.4363193734182285,0.3009814732023256,868.1818181818181,65.75687752736408,48.431394776529
66.asc,187.63636363636363,143.2,424.8,72.54545454545455,0.21694257419036428,0.2293273282400617,923.8,62.16397670677126,33.730961708462715
67.asc,179.3846153846154,104.83333333333333,358.1666666666667,77.84615384615384,0.3674060554417148,0.14035713607148878,753.5,49.01105317510871,53.39390499775317
68.asc,317.7142857142857,130.33333333333317,434.3333333333333,70.0,0.5527007129573429,0.04231494682096381,1312.0,75.96490417730195,133.55448326432176
69.asc,180.83333333333334,130.36363636363637,422.72727272727275,100.5,0.16265089710863936,0.07872876850332586,806.9090909090909,68.27411934181814,64.85984890515857
70.asc,179.090909090909,122.2,382.19999999999993,101.45454545454545,0.654615154437219,0.17097170869630898,856.0,18.468646650226137,25.13165334791963
71.asc,215.4,185.75,337.55555555555554,81.2,0.08284172011026744,0.08387145611569427,1003.5555555555555,76.48835947908981,148.57321427498294
72.asc,194.60000000000008,128.44444444444446,350.0,92.00000000000009,0.5257732230620843,0.10147561333205055,956.8,74.50744929200033,69.74556935350405
73.asc,195.0,145.1111111111111,430.6666666666667,69.4,0.3295843597956758,0.2229024578014848,924.2222222222222,61.126058777974514,71.28464070190716
74.asc,274.75,141.0,369.75,67.25,0.28773850629138265,0.07076501038218541,1160.25,52.99469313053903,51.906509363332404
